Link;Autoria;Ano;Título;Definições;Referências das definições;Paráfrases
https://doi.org/10.1016/0388-0001(89)90016-8;Okurowski;1989;Textual cohesion in Modern Standard Chinese ;"""Text features involve one of the characteristics of a text as a structural unit. This characteristic is 'the impression of the singleness of a text' (Fowler 1977:77). Such singleness is realized at the grammatical, phonological and lexical levels of language through relations of similarity. This is not to say that a text is necessarily singularly homogeneous, but rather, that a text does tend to be characterized by a similarity of language features – similar structural patterns, similar rhythmic patterns and similar lexical items"" (p. 93).";Fowler (1977);A text tends to be characterized by a similarity of language features – similar structural patterns, similar rhythmic patterns and similar lexical items.
https://doi.org/10.1016/j.sbspro.2014.01.858;Bayat e Yurdakul;2014;The degree of textuality in speech of six-year-old children;"""Text is a language system produced either in an oral or written form. It is compulsory for a language system to carry a function of communication to be handled as a text. Language usages which do not fulfill the function of communication cannot be evaluated as a text. According to this, text is defined as a meaningful structure that linguistic indicators comprising a closed structure with its beginning and ending that come sequentially (Günay, 2003)"" (p. 3875).";Günay (2003,2007);Text is a language system produced either in an oral or written form. Text is defined as a meaningful structure that linguistic indicators comprising a closed structure with its beginning and ending that come sequentially.
https://doi.org/10.1016/j.sbspro.2014.12.309;Roman e Roman;2014;The relation discourse–text and textuality. Pro-pragmatic self-reference on speech;"""A text is a 'relatively limited wholeness' (Starobinski, 1985)"" (p. 2015). ""In narrow sense, a text is a sequence of signs, superordinate to a clause with a varied thematic content. It is characterized by extensional and intensional semantic relations between clauses. In wide sense, the text and the discourse are considered unitary and complementary sides of a unique object 'analysed by textual grammar from structural perspective (with emphasis on cohesion, coherence, connectors, etc.) and by discourse analysis from contextual perspective' (Rovenţa-Frumuşani, 2005)"" (p. 216).";"Starobinski (1985); Rovenţa-Frumuşani (2005)";A text is a relatively limited wholeness. A text is a sequence of signs, superordinate to a clause with a varied thematic content. A text is characterized by extensional and intensional semantic relations between clauses. In wide sense, the text and the discourse are considered unitary and complementary sides of a unique object analysed by textual grammar from structural perspective with emphasis on cohesion, coherence, connectos, and by discourse analysis from contextual perspective.
https://doi.org/10.1016/0346-251X(89)90008-0;Khalil;1989;A study of cohesion and coherence in Arab EFL college students' writing;"""Unlike a 'disconnected sequence of sentences,' a text is a 'unit of language in use' (p. 1). Any language has grammatical and lexical devices that create 'texture', which is the property of being a text"" (p. 360).";Halliday e Hasan (1976);A text is a unit of language in use. Any language has grammatical and lexical devices that create texture, which is the property of being a text.
https://doi.org/10.1016/j.sbspro.2013.01.207;Dilidüzgün;2013;The Text-structural Activities in ELT and (T)urkish (L)anguage (T)eaching;"""Text is regarded as the communicative unit as the result of contemporary studies in linguistics. As Beaugrande & Dressler (1988) argued whereas a language is a virtual system of available options not yet in use, the text is an actual system in which options have been taken from their repertories and utilized in a particular structure. The text is distinguished by its 'textuality', based not only on cohesion and coherence, which are co-text standards but also on the contextual standards, which are intentionality, acceptability, situationality, intertextuality, and informativity (Beaugrande & Dressler, 1988)"" (p. 1432). ""A text is a semantic unit, which is not composed of sentences but is realized in sentences (Halliday, 1977)"" (p. 1433).";"Beaugrande e Dressler (1981,1988,1997); Halliday (1977)";Text is regarded as the communicative unit as the result of contemporary studies in linguistics. The text is an actual system in which options have been taken from their repertories and utilized in a particular structure. The text is distinguished by its textuality, based not only on cohesion and coherence, which are co-text standards but also on the contextual standards, which are intentionality, acceptability, situationality, intertextuality, and informativity.
https://doi.org/10.1016/j.linged.2011.09.004;Yang e Sun;2012;The use of cohesive devices in argumentative writing by Chinese EFL learners at different proficiency levels;"""According to Halliday and Hasan (1976), a text has texture, which makes a text a unity with respect to its context and distinguishes it from a set of disconnected sentences. There are two essential elements which serve to provide texture: structural and non-structural relations. The former one comprises information structure, thematic patterns and the like; the latter refers to cohesion which is a semantic relation that can be further categorized into reference, conjunction, substitution, ellipsis and lexical cohesion within a text"" (p. 32).";Halliday e Hasan (1976);"A text has texture, which makes a text a unity with respect to its context and distinguishes it from a set of disconnected sentences. There are two essential elements which serve to provide texture: structural and non-structural relations. Structural relations comprises information structure, thematic patterns and the like; Non-structural relations refers to cohesion which is a semantic relation that can be further categorized into reference, conjunction, substitution, ellipsis and lexical cohesion within a text."
https://doi.org/10.1016/S0020-0255(02)00400-0;Perrin e Petry;2003;Extraction and representation of contextual information for knowledge discovery in texts;"""Texts can be defined as collections of words, implying both connected and unconnected strings"" (p. 131). ""A text is a discourse with some intended meaning, expressed as a specific choice of sequences of words to form sentences, paragraphs and sections to structure and convey the intended meaning"" (p. 132).";;Texts can be defined as collections of words, implying both connected and unconnected strings. A text is a discourse with some intended meaning, expressed as a specific choice of sequences of words to form sentences, paragraphs and sections to structure and convey the intended meaning.
https://doi.org/10.1016/S0020-0255(98)10090-7;Perrin e Petry;1999;An information-theoretic based model for large-scale contextual text processing;"""Texts can be defined as collections of words, implying both connected and unconnected strings"" (p. 232).";;Texts can be defined as collections of words, implying both connected and unconnected strings.
https://doi.org/10.1016/j.langsci.2008.06.002;Cornish;2009;Inter-sentential anaphora and coherence relations in discourse: A perfect match;"""The text is the trace of at least one utterance act (whether realized in terms of a verbal, linguistic trace, or of a non-verbal one – which may be gestural, sensori-perceptual or prosodic)"" (p. 574). ""Text, then, refers to the connected sequences of signs and signals, under their conventional meanings, produced by the speaker and (in informal spoken interactions) by the addressee – certain of which point to possible ways of grounding the discourse to be constructed within a particular context, in cognitive terms"" (p. 573).";;The text is the trace of at least one utterance act whether realized in terms of a verbal, linguistic trace, or of a non-verbal one, which may be gestural, sensori-perceptual or prosodic. Text, then, refers to the connected sequences of signs and signals, under their conventional meanings, produced by the speaker and, in informal spoken interactions, by the addressee, certain of which point to possible ways of grounding the discourse to be constructed within a particular context, in cognitive terms.
https://doi.org/10.1016/j.pragma.2014.11.010;Blom and Hansen;2015;Click bait: Forward-reference as lure in online news headlines;"""Regarding the notion 'text', we choose to follow Halliday and Hasan's definition: 'A text is a unit of language in use. It is not a grammatical unit, like a clause or a sentence; and it is not defined by its size. [...] A text is best regarded as a semantic unit; a unit not of form but of meaning.' (Halliday and Hasan, 1976:1–2)"" (p. 92).";Halliday e Hasan (1976);A text is a unit of language in use. A text is best regarded as a semantic unit, a unit of meaning.
