"Source","Target","Type"
"abstraction","discourse","Undirected"
"abstraction","dynamic","Undirected"
"abstraction","flow","Undirected"
"abstraction","large","Undirected"
"abstraction","meaning","Undirected"
"abstraction","scaffold","Undirected"
"abstraction","small","Undirected"
"abstraction","structure","Undirected"
"abstraction","text","Undirected"
"abstraction","unit","Undirected"
"abstraction","view","Undirected"
"abstraction","wave","Undirected"
"acceptability","also","Undirected"
"acceptability","base","Undirected"
"acceptability","co-text","Undirected"
"acceptability","coherence","Undirected"
"acceptability","cohesion","Undirected"
"acceptability","communicative","Undirected"
"acceptability","contextual","Undirected"
"acceptability","define","Undirected"
"acceptability","distinguish","Undirected"
"acceptability","event","Undirected"
"acceptability","informativity","Undirected"
"acceptability","intentionality","Undirected"
"acceptability","intertextuality","Undirected"
"acceptability","meet","Undirected"
"acceptability","occurrence","Undirected"
"acceptability","possible","Undirected"
"acceptability","seven","Undirected"
"acceptability","situationality","Undirected"
"acceptability","standard","Undirected"
"acceptability","text","Undirected"
"acceptability","textuality","Undirected"
"act","analyze","Undirected"
"act","characterize","Undirected"
"act","communicate","Undirected"
"act","communication","Undirected"
"act","communicative","Undirected"
"act","directionality","Undirected"
"act","event","Undirected"
"act","function","Undirected"
"act","gestural","Undirected"
"act","less","Undirected"
"act","linguistic","Undirected"
"act","non-verbal","Undirected"
"act","producer","Undirected"
"act","product","Undirected"
"act","prosodic","Undirected"
"act","purpose","Undirected"
"act","realize","Undirected"
"act","recipient","Undirected"
"act","record","Undirected"
"act","see","Undirected"
"act","sensori-perceptual","Undirected"
"act","term","Undirected"
"act","text","Undirected"
"act","trace","Undirected"
"act","utterance","Undirected"
"act","verbal","Undirected"
"action","cause","Undirected"
"action","complex","Undirected"
"action","fulfill","Undirected"
"action","function","Undirected"
"action","game","Undirected"
"action","give","Undirected"
"action","identifiable","Undirected"
"action","language","Undirected"
"action","process","Undirected"
"action","result","Undirected"
"action","socio-communicative","Undirected"
"action","text","Undirected"
"action","unit","Undirected"
"action","use","Undirected"
"actual","carry","Undirected"
"actual","decision","Undirected"
"actual","option","Undirected"
"actual","particular","Undirected"
"actual","repertory","Undirected"
"actual","selection","Undirected"
"actual","structure","Undirected"
"actual","system","Undirected"
"actual","take","Undirected"
"actual","text","Undirected"
"actual","utilization","Undirected"
"actual","utilize","Undirected"
"actualization","context","Undirected"
"actualization","organize","Undirected"
"actualization","relation","Undirected"
"actualization","role","Undirected"
"actualization","text","Undirected"
"add","build","Undirected"
"add","element","Undirected"
"add","make","Undirected"
"add","other","Undirected"
"add","text","Undirected"
"additionally","comment","Undirected"
"additionally","concern","Undirected"
"additionally","distribution","Undirected"
"additionally","implicate","Undirected"
"additionally","information","Undirected"
"additionally","much","Undirected"
"additionally","necessarily","Undirected"
"additionally","new","Undirected"
"additionally","old","Undirected"
"additionally","predicate","Undirected"
"additionally","rheme","Undirected"
"additionally","subject","Undirected"
"additionally","term","Undirected"
"additionally","text","Undirected"
"additionally","theme","Undirected"
"additionally","topic","Undirected"
"additionally","traditional","Undirected"
"additionally","turn","Undirected"
"addressee","certain","Undirected"
"addressee","code","Undirected"
"addressee","cognitive","Undirected"
"addressee","communication","Undirected"
"addressee","connect","Undirected"
"addressee","construct","Undirected"
"addressee","context","Undirected"
"addressee","conventional","Undirected"
"addressee","discourse","Undirected"
"addressee","function","Undirected"
"addressee","ground","Undirected"
"addressee","informal","Undirected"
"addressee","interaction","Undirected"
"addressee","involve","Undirected"
"addressee","material","Undirected"
"addressee","meaning","Undirected"
"addressee","numb","Undirected"
"addressee","particular","Undirected"
"addressee","point","Undirected"
"addressee","possible","Undirected"
"addressee","produce","Undirected"
"addressee","realization","Undirected"
"addressee","refer","Undirected"
"addressee","relevant","Undirected"
"addressee","repertoire","Undirected"
"addressee","see","Undirected"
"addressee","select","Undirected"
"addressee","sequence","Undirected"
"addressee","sign","Undirected"
"addressee","signal","Undirected"
"addressee","source","Undirected"
"addressee","speak","Undirected"
"addressee","speaker","Undirected"
"addressee","term","Undirected"
"addressee","text","Undirected"
"allow","characteristic","Undirected"
"allow","construct","Undirected"
"allow","function","Undirected"
"allow","possess","Undirected"
"allow","text","Undirected"
"allow","texture","Undirected"
"allow","unit","Undirected"
"also","base","Undirected"
"also","co-text","Undirected"
"also","coherence","Undirected"
"also","cohesion","Undirected"
"also","contextual","Undirected"
"also","distinguish","Undirected"
"also","informativity","Undirected"
"also","intentionality","Undirected"
"also","intertextuality","Undirected"
"also","situationality","Undirected"
"also","standard","Undirected"
"also","text","Undirected"
"also","textuality","Undirected"
"analyse","analysis","Undirected"
"analyse","coherence","Undirected"
"analyse","cohesion","Undirected"
"analyse","complementary","Undirected"
"analyse","connectos","Undirected"
"analyse","consider","Undirected"
"analyse","contextual","Undirected"
"analyse","discourse","Undirected"
"analyse","emphasis","Undirected"
"analyse","grammar","Undirected"
"analyse","object","Undirected"
"analyse","perspective","Undirected"
"analyse","sense","Undirected"
"analyse","side","Undirected"
"analyse","structural","Undirected"
"analyse","text","Undirected"
"analyse","textual","Undirected"
"analyse","unique","Undirected"
"analyse","unitary","Undirected"
"analyse","wide","Undirected"
"analysis","coherence","Undirected"
"analysis","cohesion","Undirected"
"analysis","complementary","Undirected"
"analysis","connectos","Undirected"
"analysis","consider","Undirected"
"analysis","contextual","Undirected"
"analysis","discontextualized","Undirected"
"analysis","discourse","Undirected"
"analysis","emphasis","Undirected"
"analysis","grammar","Undirected"
"analysis","object","Undirected"
"analysis","perspective","Undirected"
"analysis","sense","Undirected"
"analysis","side","Undirected"
"analysis","structural","Undirected"
"analysis","text","Undirected"
"analysis","textual","Undirected"
"analysis","unique","Undirected"
"analysis","unitary","Undirected"
"analysis","wide","Undirected"
"analyze","characterize","Undirected"
"analyze","communicate","Undirected"
"analyze","communication","Undirected"
"analyze","directionality","Undirected"
"analyze","producer","Undirected"
"analyze","purpose","Undirected"
"analyze","recipient","Undirected"
"analyze","text","Undirected"
"another","cohere","Undirected"
"another","collection","Undirected"
"another","group","Undirected"
"another","relate","Undirected"
"another","sentence","Undirected"
"another","text","Undirected"
"apprehend","cohesive","Undirected"
"apprehend","element","Undirected"
"apprehend","form","Undirected"
"apprehend","integrate","Undirected"
"apprehend","linguistic","Undirected"
"apprehend","must","Undirected"
"apprehend","recognizably","Undirected"
"apprehend","text","Undirected"
"apprehend","whole","Undirected"
"area","characterize","Undirected"
"area","coherence","Undirected"
"area","cohesion","Undirected"
"area","communicative","Undirected"
"area","constitute","Undirected"
"area","definable","Undirected"
"area","definition","Undirected"
"area","formal","Undirected"
"area","function","Undirected"
"area","identify","Undirected"
"area","informativeness","Undirected"
"area","language","Undirected"
"area","main","Undirected"
"area","presumably","Undirected"
"area","principle","Undirected"
"area","provide","Undirected"
"area","see","Undirected"
"area","separation","Undirected"
"area","text","Undirected"
"area","textuality","Undirected"
"area","texture","Undirected"
"area","unit","Undirected"
"area","use","Undirected"
"argument","collection","Undirected"
"argument","different","Undirected"
"argument","text","Undirected"
"argument","theme","Undirected"
"assembly","element","Undirected"
"assembly","mutually","Undirected"
"assembly","relevant","Undirected"
"assembly","system","Undirected"
"assembly","text","Undirected"
"authentic","language","Undirected"
"authentic","speak","Undirected"
"authentic","stretch","Undirected"
"authentic","text","Undirected"
"authentic","write","Undirected"
"author","case","Undirected"
"author","consume","Undirected"
"author","context","Undirected"
"author","entity","Undirected"
"author","human","Undirected"
"author","intersubjective","Undirected"
"author","pragmatic","Undirected"
"author","produce","Undirected"
"author","reader","Undirected"
"author","relationship","Undirected"
"author","school","Undirected"
"author","teacher","Undirected"
"author","text","Undirected"
"base","choice","Undirected"
"base","co-text","Undirected"
"base","coherence","Undirected"
"base","cohesion","Undirected"
"base","context","Undirected"
"base","contextual","Undirected"
"base","continuous","Undirected"
"base","distinguish","Undirected"
"base","informativity","Undirected"
"base","intentionality","Undirected"
"base","intertextuality","Undirected"
"base","operate","Undirected"
"base","parameter","Undirected"
"base","particular","Undirected"
"base","process","Undirected"
"base","represent","Undirected"
"base","semantic","Undirected"
"base","sense","Undirected"
"base","situation","Undirected"
"base","situationality","Undirected"
"base","standard","Undirected"
"base","text","Undirected"
"base","textuality","Undirected"
"basic","language","Undirected"
"basic","text","Undirected"
"basic","unit","Undirected"
"basic","use","Undirected"
"become","consider","Undirected"
"become","individual","Undirected"
"become","sequence","Undirected"
"become","symbol","Undirected"
"become","text","Undirected"
"become","word","Undirected"
"begin","close","Undirected"
"begin","come","Undirected"
"begin","comprise","Undirected"
"begin","define","Undirected"
"begin","end","Undirected"
"begin","indicator","Undirected"
"begin","linguistic","Undirected"
"begin","meaningful","Undirected"
"begin","sequentially","Undirected"
"begin","structure","Undirected"
"begin","text","Undirected"
"build","element","Undirected"
"build","make","Undirected"
"build","other","Undirected"
"build","text","Undirected"
"carry","decision","Undirected"
"carry","option","Undirected"
"carry","selection","Undirected"
"carry","system","Undirected"
"carry","text","Undirected"
"carry","utilization","Undirected"
"case","consume","Undirected"
"case","context","Undirected"
"case","entity","Undirected"
"case","human","Undirected"
"case","intersubjective","Undirected"
